117,A2o,54.931,,45.048,,,,,,,,,
118,82s,40.274,,44.846,,,,,,,,,
119,97o,46.301,,44.544,,,,,,,,,
120,72s,38.163,,44.494,,,,,,,,,
121,76o,42.327,,44.346,,,,,,,,,
122,K7o,55.192,,44.253,,,,,,,,,
123,65o,39.945,,43.866,,,,,,,,,
124,T7o,47.902,,43.677,,,,,,,,,
125,K6o,54.222,,43.502,,,,,,,,,
126,86o,43.246,,43.259,,,,,,,,,
127,54o,38.161,,43.246,,,,,,,,,
128,K5o,53.318,,43.13,,,,,,,,,
129,J7o,49.679,,42.704,,,,,,,,,
130,75o,40.515,,42.67,,,,,,,,,
131,Q7o,51.759,,42.6,,,,,,,,,
132,K4o,52.332,,42.415,,,,,,,,,
133,K3o,51.422,,42.327,,,,,,,,,
134,96o,44.494,,41.848,,,,,,,,,
135,K2o,50.507,,41.668,,,,,,,,,
136,64o,38.016,,41.451,,,,,,,,,
137,Q6o,51.03,,41.43,,,,,,,,,
138,53o,36.265,,41.335,,,,,,,,,
139,85o,41.43,,40.871,,,,,,,,,
140,T6o,46.09,,40.673,,,,,,,,,
141,Q5o,50.12,,40.515,,,,,,,,,
142,43o,35.144,,40.274,,,,,,,,,
143,Q4o,49.122,,40.038,,,,,,,,,
144,Q3o,48.215,,40.016,,,,,,,,,
145,74o,38.556,,39.945,,,,,,,,,
146,Q2o,47.288,,39.692,,,,,,,,,
147,J6o,47.835,,39.533,,,,,,,,,
148,63o,36.082,,39.447,,,,,,,,,
149,J5o,47.181,,39.094,,,,,,,,,
150,95o,42.67,,38.641,,,,,,,,,
151,52o,34.285,,38.556,,,,,,,,,
152,J4o,46.189,,38.163,,,,,,,,,
153,J3o,45.273,,38.161,,,,,,,,,
154,42o,33.201,,38.016,,,,,,,,,
155,J2o,44.346,,37.846,,,,,,,,,
156,84o,39.447,,37.665,,,,,,,,,
157,T5o,44.253,,37.48,,,,,,,,,
158,T4o,43.502,,36.833,,,,,,,,,
159,32o,32.308,,36.826,,,,,,,,,
160,T3o,42.6,,36.599,,,,,,,,,
161,73o,36.599,,36.265,,,,,,,,,
162,T2o,41.668,,36.082,,,,,,,,,
163,62o,34.077,,35.985,,,,,,,,,
164,94o,40.673,,35.144,,,,,,,,,
165,93o,40.016,,34.585,,,,,,,,,
166,92o,39.094,,34.285,,,,,,,,,
167,83o,37.48,,34.077,,,,,,,,,
168,82o,36.833,,33.201,,,,,,,,,
169,72o,34.585,,32.308,,,,,,,,,
